"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"963","58","2021-09-23","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","... que o Senador quer. "
"964","58","2021-09-23","DANILO BERNDT TRENTO","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Sr. Senador, eu não me recordo com exatidão e prefiro me abster de responder e usar o direito ao silêncio. "
"965","58","2021-09-23","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","Em 2019 e 2020, chegaram a efetivar algum fornecimento de material relativo ao combate ao covid-19? "
"966","58","2021-09-23","DANILO BERNDT TRENTO","","","","","","Desculpa, Sr. Senador, pode repetir? "
"967","58","2021-09-23","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","Em 2019 e 2020, chegaram a efetivar algum fornecimento de material relativo ao combate ao covid-19? "
"968","58","2021-09-23","DANILO BERNDT TRENTO","","","","","","Sr. Senador, eu irei exercer o direito ao silêncio. "
"969","58","2021-09-23","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","Como a empresa Precisa está sanando suas dívidas relativas a processos anteriores não bem sucedidos e que exigiram da Precisa ressarcimento aos cofres públicos? "
"970","58","2021-09-23","DANILO BERNDT TRENTO","","","","","","Sr. Senador, eu irei exercer o direito ao silêncio. "
"971","58","2021-09-23","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","Pois bem. Ontem, ao citar o pesquisador Dr. Zelenko como potencial candidato ao Prêmio Nobel da Paz, fui ironizado e até ameaçado em cima de fake news. Informo que o meu Gabinete já fez contato com o citado pesquisador, e iremos providenciar as provas relativas aos fatos que aqui mencionei. E quem publicamente fez afirmações a meu respeito deverá ser devidamente responsabilizado pelos seus atos. Ontem aqui falaram: ""Mais uma fake news do Heinze"". Estou falando de casos concretos, que aconteceram.         Voltando ao tema das vacinas, o Brasil tem 211 milhões de brasileiros, 69% com a primeira dose e 39% com o esquema vacinal completo, 2.8 é a nossa letalidade e 531 a média de mortes nos últimos sete dias. Preste atenção, Senador Girão: os Estados Unidos, com 328 milhões de habitantes, 64% com a primeira dose e 55% com esquema vacinal completo, a letalidade é 1.6; 2.046 mortos nos últimos sete dias. Índia: 1,36 bilhão de habitantes, 44% com a primeira dose, 15% com esquema vacinal completo. Portanto, nós estamos à frente dos Estados Unidos e da Índia, em cima no sistema vacinal. Nigéria: 201 milhões de habitantes, 2.2% da primeira dose e 0,9% com esquema vacinal completo, a letalidade é 1.31. Qual é a diferença? Nigéria e Índia adotam oficialmente o tratamento chamado precoce com essas drogas que aqui são combatidas. Então, só para fazer uma menção à letalidade da Índia e da Nigéria contra os Estados Unidos e também contra o próprio Brasil. Novos casos confirmados nos últimos sete dias: Brasil, 35.647 casos; Estados Unidos, 134.098 casos; Índia, 30.871 casos; e Nigéria, 389 casos. Então, para mim, funciona o tratamento que aqui estão criminalizando. Refletindo sobre os dados acima, vê-se que, embora o Brasil esteja sendo duramente criticado, ainda assim logrou êxito em vacinar maior percentual da sua população na primeira dose até do que o país mais rico, os Estados Unidos. O maior valor da letalidade parece refletir a fragilidade que temos no sistema de tratamentos hospitalares, uma vez que a letalidade é o valor percentual calculado de óbitos por número de contaminados. Porém, quando analisamos o número de mortes nos últimos sete dias, vê-se que os Estados Unidos apresentam 3.85 vezes maior número de mortes por covid-19 do que o Brasil. Estranhamente, os Estados Unidos apresentam 3.76 vezes maior número de novos casos em sete dias do que o Brasil. Ora, isso indica que a vacinação não necessariamente impede que a infecção ocorra. Portanto, há sim necessidade de considerarmos o uso de medicamentos para impedirmos a replicação viral. Com todo o meu respeito, o Ministro Queiroga, que é um exemplo, embora vacinado com duas doses e sempre muito atento quanto ao uso de máscara, limpeza, evitando aglomerações, mesmo assim, está apresentando resultados positivos para infecção do vírus causador da covid-19. Mesmo assintomático, a medicina não conseguiu garantir que não seja extinta a carga viral... "
"972","58","2021-09-23","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE. Pela ordem.)","Bloco Parlamentar da Resistência Democrática","PT","SE","Pela ordem","Sr. Presidente, uma questão de ordem. Me preocupa muito a forma como o Senador Heinze passa as informações porque desinforma a população, e informação e saúde pública caminham juntas. A informação errada interfere no comportamento da população e a população se comporta de modo a aumentar o seu risco de infecção e de adoecimento. Portanto, Senador, com todo respeito a V. Exa., é preciso que a gente tenha responsabilidade com informação que vai para toda a sociedade. "
"973","58","2021-09-23","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","Eu tenho, eu tenho, eu tenho... "
"974","58","2021-09-23","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Bloco Parlamentar da Resistência Democrática","PT","SE","","O senhor pode estar aumentando o risco de morte! "
"975","58","2021-09-23","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","V. Exa. ontem me criticou sobre o Dr. Zelenko... "
"976","58","2021-09-23","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Bloco Parlamentar da Resistência Democrática","PT","SE","","Me perdoe a interferência. "
"977","58","2021-09-23","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","V. Exa. ontem me criticou sobre o Dr. Zelenko e estou mostrando a realidade. "
"978","58","2021-09-23","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Senador Rogério, nós já falamos de tudo. Todos os Senadores já advertiram o Senador Heinze. Não tem jeito, não.         "
"979","58","2021-09-23","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Fora do microfone.)","Bloco Parlamentar da Resistência Democrática","PT","PE","Fora do microfone","Não tem jeito, não, tem que... "
"980","58","2021-09-23","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","A Constituição, lamentavelmente, no art. 52, garante a liberdade de manifestação. Pelo menos nesse caso... Aliás, felizmente. Nesse caso, infelizmente, a gente tem que ouvir. Siga lá, Senador. "
