"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"762","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Não, mas no boleto vem o nome da pessoa. "
"763","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","","","","","","Não cheguei a ver nome de ninguém. "
"764","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Esse o senhor não via. O senhor só via dos familiares. Sr. Ivanildo, não pode mentir aqui nesta CPI. "
"765","51","2021-09-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Para interpelar.)","PSD","AM","Para interpelar","Sr. Ivanildo, o senhor sabe que esses saques feitos pela empresa, na hora em que o gerente é comunicado, ele tem a obrigação de comunicar ao Coaf, conforme os valores. Ele deve ter comunicado. Se ele não comunicou, ele está mancomunado com alguém. Não é com o senhor, não. Só um minutinho. O senhor sabe que o gerente da Caixa Econômica e do outro banco vão ter que vir aqui dar explicações e dizer se comunicaram ao Coaf esses saques, porque o que estranha é o senhor se lembrar que pagava cartão de crédito pra uns e não se lembrar dos outros, porque um valor desse é bastante... Porque, o cartão de crédito, geralmente, o banco podia fazer a transferência direto; não precisava o senhor sacar. Quando o senhor saca o dinheiro, é pra quê? É para, no extrato da conta da Voetur, não aparecer no final pra quem foi transferido o dinheiro, pra dificultar a investigação. Por isso, o senhor pagava em dinheiro. O senhor pode não saber disso, mas a gente aqui sabe, até pela experiência que todo mundo tem aqui. Então, deixa eu dizer uma coisa: o senhor não lembra se os pagamentos que o senhor fazia mensalmente eram as mesmas pessoas? "
"766","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Olha, assim, se eram as mesmas pessoas, eu não me lembro, mas a partir do momento que eu sacava dinheiro, tinha valores que eu pegava, entregava lá no financeiro e eu não fazia nada com eles. Então, isso aí eu entregava e... "
"767","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA. Para interpelar.)","(PDT/CIDADANIA/REDE/CIDADANIA - MA. Para interpelar.)","CIDADANIA","MA","Para interpelar","E os boletos dos postos de gasolina? O senhor lembrava que tinha boleto pra pagar posto de gasolina, não é isso? "
"768","51","2021-09-01","IVANILDO GONÇALVES DA SILVA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Olha, não é que eu lembrava, é que na hora do, às vezes... Teve um boleto que eu fui pagar e não deu certo, não estava registrado. Por isso que eu cheguei a ver. ""Olha, tem esse boleto aqui..."". Me parece que o boleto deu ""não cadastrado"", alguma coisa assim, porque não estava desbloqueado, alguma coisa. Então, eu falei assim: ""Olha, esse boleto aqui não deu certo"". ""Qual é o boleto?"" ""Esse que está escrito aqui, esse nome aqui."" Aí eu pegava e devolvia pra empresa. "
"769","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","E aí o senhor levava junto com o dinheiro pra empresa. Presidente, olha, meu tempo acabou, mas me foram tomados pelo menos uns cinco minutos aí de tempo. Queria só que o senhor repusesse o meu tempo. Sr. Ivanildo... "
"770","51","2021-09-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fora do microfone.)","PSD","AM","Fora do microfone","Não tem reposição de tempo aqui, não. "
"771","51","2021-09-01","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Pelo amor de Deus! (Risos.) Sr. Ivanildo, o senhor conhece o General Severo? Nunca ouviu falar do nome dele? "
