"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1106","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Para concluir, Senadora Eliziane... "
"1107","30","2021-07-01","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","","Agora é para concluir, de fato, Presidente. Eu queria lhe agradecer a benevolência de V. Exa. "
"1108","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Obrigado. "
"1109","30","2021-07-01","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA. Para interpelar.)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","Para interpelar","Para finalizar, o senhor teve, em algum momento, contato com o Presidente da República, mesmo em evento público? "
"1110","30","2021-07-01","LUIZ PAULO DOMINGUETTI PEREIRA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Nunca, Excelência. "
"1111","30","2021-07-01","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","","Nunca? "
"1112","30","2021-07-01","LUIZ PAULO DOMINGUETTI PEREIRA","","","","","","Não. "
"1113","30","2021-07-01","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","","Muito obrigada, Presidente.         "
"1114","30","2021-07-01","FABIANO CONTARATO","(Bloco Parlamentar Senado Independente/REDE - ES)","Bloco Parlamentar Senado Independente","REDE","ES","","Sr. Presidente, com todo respeito, essa testemunha foi plantada aqui. Ela foi plantada. Ela está em estado flagrancial do art. 342. "
"1115","30","2021-07-01","FLÁVIO BOLSONARO","(PATRIOTA - RJ)","(PATRIOTA - RJ)","PATRIOTA","RJ","","Com base em que o senhor fala isso? "
"1116","30","2021-07-01","FABIANO CONTARATO","(Bloco Parlamentar Senado Independente/REDE - ES)","Bloco Parlamentar Senado Independente","REDE","ES","","Tem que dar voz de prisão a esse depoente. "
"1117","30","2021-07-01","FLÁVIO BOLSONARO","(PATRIOTA - RJ)","(PATRIOTA - RJ)","PATRIOTA","RJ","","Com base em que o senhor fala isso? "
"1118","30","2021-07-01","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","Presidente... "
"1119","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Plantada por quem? "
"1120","30","2021-07-01","FLÁVIO BOLSONARO","(PATRIOTA - RJ)","(PATRIOTA - RJ)","PATRIOTA","RJ","","Plantada por quem? "
"1121","30","2021-07-01","FABIANO CONTARATO","(Bloco Parlamentar Senado Independente/REDE - ES)","Bloco Parlamentar Senado Independente","REDE","ES","","Com base em quê? Olha aí qual é a conversa, qual a conversa anterior a esse vídeo. "
"1122","30","2021-07-01","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Plantada por quem? "
"1123","30","2021-07-01","FABIANO CONTARATO","(Bloco Parlamentar Senado Independente/REDE - ES)","Bloco Parlamentar Senado Independente","REDE","ES","","Esse áudio se refere a quê? Ele fala em Walmart, ele fala em pequenos... (Intervenções fora do microfone.) "
"1124","30","2021-07-01","FABIANO CONTARATO","(Bloco Parlamentar Senado Independente/REDE - ES)","Bloco Parlamentar Senado Independente","REDE","ES","","Ele nunca fez contrato nenhum com o Ministério da Saúde, pelo amor de Deus. "
"1125","30","2021-07-01","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","Presidente, antes de iniciar, só uma questão de ordem sobre o procedimento. "
